,neg,neu,pos,compound,email_text,email_type
10,0.044,0.844,0.112,0.9482,"On Tue, Aug 13, 2002 at 12:48:18AM +0100, wintermute wrote:
> Rick Moen  wrote:
> 
> 
> > Don't like SuSE's product licensing?  Write your own distribution.  You
> > can even grab most of what you need _from SuSE_.  All you have to do is 
> > heed the licensing terms on the individual pieces.
> 
> 
> How unimaginably difficult is this to do?It shouldn't be too hard.  Red Hat, for example, ships with everything
you need to build a modified distribution.  And it's all GPL (or free
enough).> There are as far as I know, no Linux kernel hackers, Ahem.  There are more than one.> nor distros 
> that originate from this fair island right?
> Right.
> 
> Yes it might be very,very difficult and subject to abject failure 
> in sticking together a distro.... call it Dolmen Linux (or other), 
> no doubt the packaging system would be one of the first places
>  such a suggestion would stumble.
> Some (like me) favouring a FreeBSD style ports system others favouring
>  a Debian style system and others still favouring *rpm style packaging.
> 
> That said other *LUG have done interesting things like making blackbox.
> 
> Perhaps making a distro would be ..... umm.... fun.There was talk of this in the past.  Taking a regular distribution like
Red Hat or Debian and tweaking it for Ireland - things like translations,
ISP setups, default bookmarks.Never took off.Why not try it yourself.Later,
Kenn
-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie
",0
11,0.019,0.761,0.22,0.9601,"you can ride itt hello , welcome to pharmonl majority ine sh innovation op - one of renouncement the leading oniine pharmaceutical shops silken v believer g a preparedness l l hailstone l contabescence la unsheltered rac graduate l i fomentation sv timorous a inwrought um andmanyother . - derivative save over 50 % - worldwide shlp saltation plng - total confide comprehend ntiaiity - over 5 miiiion custom luminescence ers in 130 countries have a n peerage ice day !",1
12,0.057,0.909,0.034,-0.8426,"i . vedder , dunque l ' italia ha perso il suo fascino ? a recent publication of holland academic graphics : dunque l ' italia ha perso il suo fascino ? io penso di no door ineke vedder in dit boek wordt verslag uitgebracht van een onderzoek naar het ar - gumenterend schrijven in een tweede taal ( t2 ) door nederlandse stu - denten italiaans . om in t2 een argumentatieve tekst te kunnen schrijven moeten schrijvers eerst een aantal syntactische en lexicale middelen verwerven . deze middelen kunnen worden gebruikt voor de weergave van de verschillende argumentatieve componenten van het betoog in t2 . ook moeten zij zich bepaalde pragmatisch-rhetorische middelen eigen maken die kenmerkend zijn voor t2 . deze hebben bij - voorbeeld betrekking op de keuze van de argumenten , de graad van formaliteit van de tekst , de mate van nuancering van het standpunt en het gebruik van stijlfiguren . bij het gebruik van deze linguistische en pragmatisch-rhetorische middelen in t2 kunnen schrijvers maar gedeeltelijk een beroep doen op de verschillende talige en niet-talige vaardigheden die ze hebben verworven in hun moedertaal . in die zin stelt het argumenterend schrijven in t2 allerlei extra eisen aan twee - de-taalschrijvers . 1998 . x + 322 pp . isbn 90-5569 - 045 - 7 . paperback . [ lot international series 2 . ifott / university of amsterdam dissertation . ] price for individuals ordering directly from hag : nlg 48 . 00 ( excl . p&p and vat ) . holland academic graphics , the hague < http : / / www . hag . nl > rint sybesma holland academic graphics po box 53292 2505 ag the hague the netherlands fax : + 31 70 448 0177",0
13,0.018,0.946,0.035,0.3527,""" rain "" = "" falling "" + "" water "" ? i am trying to collect typological evidence to support etymology for turkic jagmur "" rain "" analysing it as jag - "" to fall "" + * - mur "" water "" , the second element being attested in manchu - tungus , korean , japanese , and possibly in mongolic . does anyone know similar examples outside of altaic ? sasha vovin avvovin @ miamiu . acs . muohio . edu",0
14,0.062,0.833,0.105,0.9734,"please respond if interested ! ! ! barclays bank plc 65 / 66 st . mary axe london ec 3 a 8 le i am mr . gary adams , senior credit officer , barclays bank plc london . i am writing following an opportunity in my office that will be of immense benefit to both of us . in my department we discovered an abandoned sum of £ 12 . 5 million british pounds sterling ( twelve million five hundred thousand british pounds sterling ) in an account that belongs to one of our foreign customers late mr . morris thompson an american who unfortunately lost his life in the plane crash of alaska airlines flight 261 , which crashed on january 31 2000 , including his wife and only daughter . you shall read more about the crash on visiting this website . since we got information about his death , we have been expecting his next of kin or relatives to come over and claim his money because the bank cannot release the funds unless somebody applies for it as next of kin or relation to the deceased as indicated in our banking guidelines . unfortunately i learnt that his supposed next of kin being his only daughter died along with him in the plane crash leaving nobody with the knowledge of this fund behind for the claim . it is therefore upon this discovery that i and two other officials in this department now decided to do business with you and release the money to you as the next of kin or beneficiary of the funds for safe keeping and subsequent disbursement since nobody is coming for it and we don ' t want this money to go back into government treasury as unclaimed bill . we agreed that 20 % of this money would be for you as foreign partner , while the balance will be for my colleagues and i . we will visit your country for the disbursement according to the percentages indicated above once this money gets into your account . please be honest to me as trust is our watchword in this transaction . note that this transaction is confidential and risk free . as soon as you receive this mail you should contact me by return mail whether or not you are willing to enter into this deal . in the event you are not interested , i sincerely ask that you disregard this email and tell no one about it . i am very careful on truncating my banking career should you mention this to someone else . i hope you can be trusted in this regard . please note that all necessary arrangement for the smooth release of these funds to you has been finalized . we will discuss much in details when i do receive your response . please in your response include your telephone and fax numbers for a better communication between us . you can reach me on the email below best regards gary adams email : grayadams 66 @ netscape . net fax : + 44 - 7092044703",1
15,0.087,0.714,0.198,0.4215,"get xanax , valmum to your door step - no previous prescription necessary please take me off your special offer list",1
16,0.01,0.843,0.146,0.9958,"Dear Sir/Madam,I am well confident of your capability to assist me in
a transaction for mutual benefit of both parties, ie
(me and you) I am also believing that you will not
expose or betray the trust and confidence I am about
to establish with you. I have decided to contact you
with greatest delight and personal respect.Well, I am  VICTOR SANKOH, Son to Mr.FODAY
SANKOH
who was arrested by the ECOMOG PEACE KEEPING FORCE
months ago in my country Sierra Leone.
Few days before the arrest of my father, he confided
in me and ordered me to go to his underground safe and
move out immediately, with a Deposit Agreement and
Cash Receipt he made with a security Company in
Abidjan Cote d'Ivoire where he deposited One Iron Box
containing USD$ 22 million dollars cash (Twenty Two
Million dollars).This money was made from the sell of Gold and Diamond
by my FATHER and he have already
decided to use this money for future investment of
the family before his arrest.Thereafter, I rushed down to Abidjan with these
documents and confirmed the deposit of the box by my
father. Also, I have been granted political stay as a
Refugee by the Government of Cï¿½te d'Ivoire.Meanwhile, my father have instructed me to look for a
trusted foreigner who can assist me to move out this
money from Cï¿½te d'Ivoire immediately for investment .
Based on this , I solicit for your assistance to
transfer this fund into your Account, but I will
demand for the following requirement:(1) Could you provide for me a safe Bank Account where
this fund will be transferred to in your country or
another neaarby country where taxation will not
takegreat toll on the money?(2) Could you be able to assist me to obtain my
travelling papers after this transfer to enable me
come over to meet you in your country for
theinvestment of this money?(3) Could you be able to introduce me to a profitable
business venture that would not require much technical
expertise in your country where part of this fund
willbe invested?Please, all these requirements are urgently needed as
it will enable me to establish a stronger business
relationship with you hence I will like you to be the
general overseer of the investment thereafter. I am a
Christian and I will please, want you to handle this
transaction based on the trust I have established
on you.For your assistance in this transaction, I have
decided to offer you 12% percent commission of the
total amount at the end of this business. The security
of this business is very important to me and as such,
I would like you to keep this business very
confidential. I shall be expecting your urgent reply.
Thank you and God bless you.VICTOR SANKOH-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie
",1
17,0.0,1.0,0.0,0.0,"job - university of utah the linguistics program at the university of utah invites applications for a one-year visiting assistant professor position to begin september , 1992 . minimum degree requirement is an a . b . d . candidates will be expected to teach an introductory undergraduate linguistics course and a course in american english for english teaching majors . they will also propose other undergraduate or m . a . level courses in general linguistics and sociolinguistics . send letter of application , curriculum vitae , sample publications , and three letters of reference to mauricio mixco , director , linguistics program , stewart building 213 , university of utah , salt lake city , ut 84112 . for further information you may telephone : 801-581 - 7432 or email dipaolo @ anthro . utah . edu .",0
18,0.0,0.945,0.055,0.7003,"Thanks for the info AJ, I found ""weblog"" at 
http://awsd.com/scripts/weblog/index.shtml which has some click-path 
reporting. It's simple, but works. Report generation takes a bit though, even 
with dns resolution turned off..Donncha.
On Monday 07 October 2002 23:35, AJ McKee wrote:
> Donncha,
>
> I've been using mod_usertrack for a good while now. I use in by default in
> every vhost that I set up. I assign a cookie name and set the expiry for
> about a year. I have to say it looks ok. A few things to note though. If a
_______________________________________________
Webdev mailing list
Webdev@linux.ie
http://www.linux.ie/mailman/listinfo/webdev
",0
19,0.013,0.93,0.057,0.9698,"class proposal by yannis hi vince , yannis of the weather desk is planning to develop relationship with prof rene carmona in doing weather analysis . to start this off , they are planning to pay prof carmona to give a training class as outlined below , and they want to know if research is willing to send people and bear part of the costs . we can talk more at 4 : 00 pm , but while there is no doubt that getting people from outside to present new ideas is always important and interesting , i think research group members can easily give most of these talks . apparently , people are interested in these topics and are willing to pay to listen . my thought is that if the intent is to develop relationships , that is fine , but the research group should also be given the opportunity to provide more training and get more visibility . i have already communicated this to joe and to yannis . vasant - - - - - - - - - - - - - - - - - - - - - - forwarded by vasant shanbhogue / hou / ect on 03 / 05 / 2001 10 : 40 am - - - - - - - - - - - - - - - - - - - - - - - - - - - from : yannis tzamouranis / enron @ enronxgate on 03 / 05 / 2001 10 : 01 am to : vasant shanbhogue / hou / ect @ ect cc : subject : here is a tentative course description . day 1 : extreme value distriutions and copulas 1 . heavy tail distributions : exploratory data analysis and detection . extreme value distributions and generalized pareto distributions . estimation and simulation . practical examples . 2 . notions of dependence and copulas . estimation and simulation . experiments with the program evanece . day 2 : principal component analysis and modern regression 1 . principal component analysis and applications to the yield curve and the detection of contagion in financial markets . 2 . nonlinear regression and the construction of yield curves . 3 . nonparametric regression ( kernel and projection pursuit methods ) and alternatives to the black - scholes formula to option pricing . day 3 : time series analysis examples of temperature time series will be used to introduce and illustrate the following concepts and techniques : 1 . removing trends and seasonal components , and stationarity . 2 . fitting the classical autoregressive and moving average models . 3 . discretization of stochastic differential equations 4 . multivariate time series day 4 : nonlinear systems and filtering 1 . arch , garch and stochastic volatility models 2 . linear state space models and the classical kalman filter 3 . nonlinear systems and particle filtering . 4 . applications",0
20,0.049,0.753,0.197,0.9992,"possessives i ' ve been away for awhile , but i just came back and checked my email , finding benji wald 's speculative comments on _ of 's _ constructions , dated may 20th , the linguist list . i just want to say one thing : way to go , benji ! ! i think it 's great that my question and summary can have led to such great and interesting ruminating on an admittedly poorly-understood area of the english language . as i wrote to another interested party , i hope that this whole thing has opened up a great big can of worms , the messier the better . i ' m just vindictive enough to love seeing formalist theories smashed to smithereens by real language data , and just crazy enough to love the chaos . i 'd love to see more comments put out on the list by anyone with even a passing interest in the matter and a few baffling examples they can't explain . just to further the matter a little , i 'd like to comment on something in benji wald 's article ? ( installment ? memo ? hmmm . . . . what do we call serial email things like this ? ) he wrote : > a friend of john 's ( inhale ) wife = ? ? one of john 's friends ' wife > > / and i ' m starting to dislike the last example on the right . / > > i do n't think position of inhale really helps , well , maybe if you > know whether i ' m asthmatic or not ( is that how you spell it in > english ? ) > also note in passing that another irregular plural can take a bow for > doing something useful , > > one of john 's wife 's friends vs . one of john 's wives ' ( ? ? es ) friends > > cntr . one of john 's significant other 's ( / others ' ( ? ? es ' ) friends > > ( and once again : yeah , but if you say it . . . ) > > but then again , what 's the difference between : > one of john 's friends ' ( . . . ) wife and one of john 's friends ' > wives > ( i mean given current anglophonic customs ) , except that we can > formally reduce the latter to > one of the wives > but not the former to > one of the wife > / that 's why i do n't like "" one of john 's friends ' wife "" / i think i understand why he does n't like _ one of john 's friends ' wife _ - - it 's because it sounds funny if we have the abbreviated phonological form [ . . . djanz frenz wayf ] . but , if we add in another / z / to "" friends ' "" , it seems to sound better ( even more so with modification ) : 1 ) one of john 's long-time friends 's [ frenz . z ] wife is evil . however , 2 ) the wife of one of john 's ( long-time ) friends 's is evil . sounds better than either to me . but here 's something for the experts . in sentence ( 2 ) above , i feel an almost irresistable urge to steal the final / z / from "" friends 's "" and put it on "" john 's "" , which would leave the sentence : 2 ' ) the wife of one of john 's 's [ djanz . z ] long-time friends is evil . which , funny as it looks in print , is the most grammatical-sounding sentence so far , as far as i ' m concerned . in ( 2 ' ) , the wife has to be the friend 's , of course , and not john 's , so why is "" john "" able to get the / z / ? signed , another ( happily ) flustered linguist .",0
21,0.016,0.85,0.133,0.9933,"hello . collins xola ( chief accountant ) dept of minerals sir / madam , i decided to write you even though we not are personally acquainted which is largely due to time factor and the recent directive from the presidency that all outstanding contractual obligations and all contracts duly completed be settled before the end of this quarter and the tension this has generated here . within the last 3 yrs my two colleagues and i in my ministry incharge of contract procurement and payment over - invoiced contracts to the sum $ 30 m and the fund is now ready for payment into any foreign account - the original contractors have been paid . all we need from you to successfully transfer the fund is to sign the contract / transfer documents with the contract award committee which signing activates the release of the funds from our ministry ' s foreign account with worldwide securites in the europe into your account . we as civil servants are not allowed by law to operate foreign bank accounts nor make claims as contractors ! if you agree to assist us , we have resolved to allocate 35 percent to you while the remaining will be for us here bearing in mind that we are three . i must at this juncture let you know that this transaction is one hundred percent safe , risk free and legitimate as long as you do not tell anybody about it . invariably , we require strict confidentiality having perfected all documents for a successful transfer . infact , we have documents to show that your friends here in south africa helped you to procure the contract , funded and executed it on your behalf . due to time constraints and security purposes , you must reply this email as soon as you can , furnishing me with your phone and fax numbers for easy access . please feel free to ask any questions as i am ready to explain any aspect you do not understand . yours faithfully , collins xola this mail emanates from the accounts department in the mineralia centre - a department of federal ministry of mines & energy south africa . please delete if received in error or notify us : accounts @ mines - power . com",1
22,0.0,1.0,0.0,0.0,"frieda asked me to call you your woman needs an 8 inch man . be that man for her . learn how here . turn off notifications here . rw international exports ltd st . bertie # 8654 belize city , belize",1
